trade date	scheme	security	isin	secname	deal id	trade type	units	price iso	txn net	txn gross	settle date
20251103	772	012144501	INE935N01020	EQ - DIXON TECHNOLOGIES (INDIA) LTD	CF2500117720003889	SELL	2	INR	15488.5	15469.915	20251104
20251103	772	012149901	INE00R701025	EQ - DALMIA BHARAT LTD	CF2500117720003890	SELL	6	INR	2082.7333	2080.2333	20251104
20251103	772	012151901	INE455K01017	EQ - POLYCAB INDIA LTD	CF2500117720003891	SELL	4	INR	7629.125	7619.97	20251104
20251103	772	012160801	INE670K01029	EQ - LODHA DEVELOPERSLIMITED	CF2500117720003892	SELL	21	INR	1237.9667	1236.480986	20251104
20251103	773	012142401	INE795G01014	EQ - HDFC LIFE INSURANCE COMPANY LI	CF2500117730001306	BUY	19385	INR	733.3228	734.9361	20251104
20251103	779	010451001	INE021A01026	EQ - ASIAN PAINTS (INDIA) LTD.	CF2500117800018338	BUY	18	INR	2511.3833	2514.396633	20251104
20251103	779	010607501	INE298A01020	EQ - CUMMINS INDIA LTD.	CF2500117800018339	BUY	8	INR	4363.7	4368.93625	20251104
20251103	779	010626301	INE263A01024	EQ - BHARAT ELECTRONICS LTD.	CF2500117800018340	BUY	119	INR	422.4912	422.998091	20251104
20251103	779	010653801	INE009A01021	EQ - INFOSYS LTD.	CF2500117800018341	BUY	31	INR	1486.5839	1488.367771	20251104
20251103	779	010807201	INE267A01025	EQ - HINDUSTAN ZINC LTD.	CF2500117800018342	BUY	46	INR	480.6804	481.257139	20251104
20251103	779	011803501	INE158A01026	EQ - HERO MOTOCORP LTD.	CF2500117800018343	BUY	6	INR	5538.5833	5545.229967	20251104
20251103	779	011900301	INE216A01030	EQ - BRITANNIA INDUSTRIES LTD.	CF2500117800018344	BUY	8	INR	5823.875	5830.86375	20251104
20251103	779	011901101	INE239A01024	EQ - NESTLE INDIA LTD.	CF2500117800018345	BUY	42	INR	1267.5167	1269.037652	20251104
20251103	779	011901801	INE030A01027	EQ - HINDUSTAN UNILEVER LTD	CF2500117800018346	BUY	22	INR	2460.1045	2463.056773	20251104
20251103	779	011902201	INE154A01025	EQ - ITC LTD.	CF2500117800018347	BUY	121	INR	413.8926	414.389212	20251104
