valuation date,portfolio code,portfolio name,asset name,issuer,security,isin no,secname,quantity,market price,cost price,mktval,per,nav
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Tech Mahindra Ltd,012060401,INE669C01036,EQ - TECH MAHINDRA LTD.,"925,000","1,424.4",563.7876835459,"1,317,570,000",3.37,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Torrent Pharmaceuticals Ltd.,010446901,INE685A01028,EQ - TORRENT PHARMACEUTICALS LTD.,"190,000","3,560.1",680.8881526316,"676,419,000",1.73,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Vedant Fashions Ltd,012162901,INE825V01034,EQ - VEDANT FASHIONS LTD,"489,619",645.75,764.022696995,"316,171,469.25",0.81,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Vedanta Ltd,010802801,INE205A01025,EQ - VEDANTA LTD,"1,100,000",493.55,452.5332311182,"542,905,000",1.39,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Invit,Indus Infra Trust,662171801,INE0NHL23019,INVIT - INDUS INFRA TRUST,"2,572,793",119.66,100,"307,860,410.38",0.79,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Reits,Embassy Office Parks Reit,672167001,INE041025011,REIT- EMBASSY OFFICE PARKS,"698,645",428.95,388,"299,683,772.75",0.77,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Reits,Knowledge Realty Trust Reit,672182801,INE1JAR25012,REIT- KNOWLEDGE REALTY TRUST REIT,"8,717,059",115.52,100,"1,006,994,655.68",2.58,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Reits,Mindspace Business Parks Reit,672167101,INE0CCU25019,REIT- MINDSPACE BUSINESS PARKS,"730,631",464.79,356.0295188406,"339,589,982.49",0.87,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Nca,Nca,NCA,INR CURNCY,NCA,"241,869,717.82",100,100,"241,869,717.82",0.62,"39,040,365,810.82"
20251031,193,UTI Value Fund,Equity Shares,Aditya Birla Lifestyle Brands Limited,012179101,INE14LE01019,EQ - ADITYA BIRLA LIFESTYLE BRANDS LIMITED,"4,678,594",133.6,125.3267498441,"625,060,158.4",0.62,"100,578,077,336.98"
